architecture,seed,concept,layer,auc
GATv2,11,unused,0,1.0
GATv2,11,unused,1,1.0
GATv2,11,unused,2,1.0
GATv2,11,unused,3,1.0
GATv2,11,relational,0,0.5
GATv2,11,relational,1,1.0
GATv2,11,relational,2,1.0
GATv2,11,relational,3,1.0
GATv2,11,irrelevant,0,0.5
GATv2,11,irrelevant,1,0.5
GATv2,11,irrelevant,2,0.5
GATv2,11,irrelevant,3,0.5
GATv2,23,used,0,1.0
GATv2,23,used,1,1.0
GATv2,23,used,2,1.0
GATv2,23,used,3,1.0
GATv2,23,unused,0,1.0
GATv2,23,unused,1,1.0
GATv2,23,unused,2,1.0
GATv2,23,unused,3,1.0
GATv2,23,relational,0,0.5
GATv2,23,relational,1,1.0
GATv2,23,relational,2,1.0
GATv2,23,relational,3,1.0
GATv2,23,irrelevant,0,0.5
GATv2,23,irrelevant,1,0.5
GATv2,23,irrelevant,2,0.5
GATv2,23,irrelevant,3,0.5
GATv2,37,used,0,1.0
GATv2,37,used,1,1.0
GATv2,37,used,2,1.0
GATv2,37,used,3,1.0
GATv2,37,unused,0,1.0
GATv2,37,unused,1,1.0
GATv2,37,unused,2,1.0
GATv2,37,unused,3,1.0
GATv2,37,relational,0,0.5
GATv2,37,relational,1,1.0
GATv2,37,relational,2,1.0
GATv2,37,relational,3,1.0
GATv2,37,irrelevant,0,0.5
GATv2,37,irrelevant,1,0.5
GATv2,37,irrelevant,2,0.5
GATv2,37,irrelevant,3,0.5
